year,pop_name,reg,popwgt.absolute.hy,popwgt.relative.hy
2016,Pacific,South,-0.0255201342674368,0.608089229438038
2016,Hispanic,South,-0.0104820853800856,0.839027408110175
2017,White,South,-0.000292124470661861,0.994898450059965
2017,Black,South,0.0100208355532716,1.1750000364573
2017,Native,South,-0.00689832947669478,0.879530214471794
2017,Asian,South,-0.0146639606890783,0.743914203405992
2017,Pacific,South,-0.0207630197482204,0.637402570515598
2017,Hispanic,South,-0.00552188393571886,0.903567932541485
2018,White,South,-0.000195696263930935,0.995876359019356
2018,Black,South,0.00883826561058154,1.18623674022959
2018,Native,South,-0.00940179714163121,0.801888726917081
2018,Asian,South,-0.01265156885425,0.733410711329514
2018,Pacific,South,-0.0189629844130356,0.600418842597338
2018,Hispanic,South,-0.00791590765217678,0.833198853479253
2019,White,South,-0.000188333698914696,0.994190257380232
2019,Black,South,0.00650073186448879,1.20053542828737
2019,Native,South,-0.00752966134713183,0.767724020220804
2019,Asian,South,-0.00858192437817906,0.735263672370629
2019,Pacific,South,-0.0130400866235901,0.597737699311839
2019,Hispanic,South,-0.00602064213468412,0.81427444259942
2020,White,South,2.40613416824589e-05,1.00099158216311
2020,Black,South,0.00373367550108759,1.15386698209074
2020,Native,South,-0.00496494986923312,0.795391470847381
2020,Asian,South,-0.00614292623372754,0.746846366130547
2020,Pacific,South,-0.00940315383547013,0.612490452805212
2020,Hispanic,South,-0.00352459752634339,0.854749245266504
1999,White,West,0.00127475983676915,1.03402873328106
1999,Black,West,-0.0101849970494059,0.728119338195519
1999,Native,West,0.0361358967390295,1.96461996725653
1999,Asian,West,-0.00481234187053951,0.871538235480587
1999,Pacific,West,0.0123519882498947,1.32972682502431
1999,Hispanic,West,0.00230590355794159,1.06155432174887
2000,White,West,0.00123666675386112,1.03690508938925
2000,Black,West,-0.00976620601259898,0.708553088563709
2000,Native,West,0.0332840224016567,1.99327471861897
2000,Asian,West,-0.00475744918606559,0.858026354368811
2000,Pacific,West,0.0117540141450213,1.35076785346588
2000,Hispanic,West,0.00248462142465131,1.07414703717789
2001,White,West,0.00127202829397692,1.0369794768582
2001,Black,West,-0.0101798025150093,0.704060221531794
2001,Native,West,0.0325752622574765,1.94700421563261
2001,Asian,West,-0.00391928986825019,0.886061269493932
2001,Pacific,West,0.0120965227722636,1.35166126888818
2001,Hispanic,West,0.00201473152583458,1.05857080238534
2002,White,West,0.00118764376104218,1.04387563579897
2002,Black,West,-0.00826221937824847,0.694765265290431
2002,Native,West,0.028045638644462,2.03610212698293
2002,Asian,West,-0.00577831351667747,0.786529271060621
2002,Pacific,West,0.00374412669529874,1.13832088767423
2002,Hispanic,West,0.00465193694962104,1.17185851351774
2003,White,West,0.00106173797026263,1.04171709604852
2003,Black,West,-0.00734041437984432,0.711585362587981
2003,Native,West,0.0289452923950833,2.13729901050762
2003,Asian,West,-0.00606283509471316,0.761783150780699
2003,Pacific,West,0.00321309788736044,1.12624688664675
2003,Hispanic,West,0.00498088277141577,1.19570550437237
2004,White,West,0.00097644686522717,1.04099653824413
2004,Black,West,-0.00731870667077893,0.692720977852335
2004,Native,West,0.0236851768193495,1.99443225419904
2004,Asian,West,-0.00318246611240708,0.866382802450197
2004,Pacific,West,0.00610879013491369,1.2564801601704
2004,Hispanic,West,0.00587469068429603,1.24665139485613
2005,White,West,0.000921779042417501,1.03977141284539
2005,Black,West,-0.00613488696307828,0.735301942287106
2005,Native,West,0.020713545755917,1.89371415690882
2005,Asian,West,-0.0047534282239949,0.794906862026718
2005,Pacific,West,0.00373893322524405,1.16132136885269
2005,Hispanic,West,0.00408714710348673,1.17634553112238
2006,White,West,0.000824450121370283,1.04207753155459
2006,Black,West,-0.00445176964441744,0.7727946508451
2006,Native,West,0.0174935088841367,1.89281771327697
2006,Asian,West,-0.00651546603336622,0.667469601246274
2006,Pacific,West,-0.00106726837639656,0.94552973233796
2006,Hispanic,West,0.000436286123446188,1.02226677230106
2007,White,West,0.000750876863677065,1.03909994181542
2007,Black,West,-0.00388985286061666,0.797446122156619
2007,Native,West,0.0159345155007912,1.82974807065814
2007,Asian,West,-0.00616556873272889,0.678944191291041
2007,Pacific,West,-0.0015651097058828,0.918501020080585
2007,Hispanic,West,-0.000454269344480552,0.976345116227528
2008,White,West,0.00069354570329086,1.03991043823519
2008,Black,West,-0.00350096318142938,0.798535303220647
2008,Native,West,0.012069479595151,1.6945443070695
2008,Asian,West,-0.00524493142277599,0.698177768814281
2008,Pacific,West,-0.0020017992483941,0.884805449903019
2008,Hispanic,West,7.81263932563628e-05,1.00449582280995
2009,White,West,0.000621270340770126,1.044140093677
2009,Black,West,-0.00357728498433414,0.745840604394353
2009,Native,West,0.0106729546061351,1.75829342752985
2009,Asian,West,-0.00347260347809214,0.753278029277769
2009,Pacific,West,9.30560247782864e-05,1.00661145620734
2009,Hispanic,West,0.000889534862330857,1.06319978530373
2010,White,West,0.000691748336232948,1.05693373725059
2010,Black,West,-0.00379125342864328,0.68796422737749
2010,Native,West,0.00915602498081554,1.75357856783058
2010,Asian,West,-0.00350658864466955,0.711393311578134
2010,Pacific,West,0.00080989705667696,1.06665786357504
2010,Hispanic,West,0.000773029516783687,1.0636235131915
2011,White,West,0.000574640567765808,1.04765988563237
2011,Black,West,-0.00279230074499,0.768410478440785
2011,Native,West,0.00769768498868897,1.63843523547476
