year,pop_name,state_name,reg,relative_PWE_enhancement
2011,Pacific,Arkansas,South,0.667808389357733
2003,Pacific,Arkansas,South,0.752943681766281
2009,Black,Arkansas,South,0.988023077176519
2006,Native,Arkansas,South,0.776319885338775
2017,Hispanic,Arkansas,South,0.843090144108614
2009,Hispanic,Arkansas,South,0.781390786793731
2006,White,Arkansas,South,1.00438869650535
2004,Black,Arkansas,South,1.00062664335321
2012,Black,Arkansas,South,1.01519605610084
2007,Asian,Arkansas,South,0.868231400759918
2015,Asian,Arkansas,South,0.912722968259287
1999,Asian,Arkansas,South,0.858721546909601
2004,Native,Arkansas,South,0.920593975461118
2001,White,Arkansas,South,1.01522639479421
2012,Pacific,Arkansas,South,0.718400911856035
2004,Pacific,Arkansas,South,0.730043084644721
2018,Hispanic,Arkansas,South,0.856776342648944
2015,Native,Arkansas,South,0.860337180913419
2007,Native,Arkansas,South,0.807636627502616
2018,Pacific,Arkansas,South,0.726790443877787
2010,Hispanic,Arkansas,South,0.756370577685847
2002,Hispanic,Arkansas,South,0.84575549699994
2013,Black,Arkansas,South,1.02350229941734
2005,Black,Arkansas,South,0.970783712217877
2019,Black,Arkansas,South,1.02553748030174
2016,Asian,Arkansas,South,0.916383728561647
2008,Asian,Arkansas,South,0.887610026147861
2016,Black,Arkansas,South,0.96925127273529
2010,White,Arkansas,South,1.00158498581755
2005,Pacific,Arkansas,South,0.73103259372626
2016,Hispanic,Arkansas,South,0.82442207851869
2011,Black,Arkansas,South,1.01278830097709
2008,Native,Arkansas,South,0.806673141991542
2016,Native,Arkansas,South,0.80236725038031
2008,Pacific,Arkansas,South,0.698054255639039
2020,Hispanic,Arkansas,South,0.844439326679019
2003,Hispanic,Arkansas,South,0.933508173860355
2014,Black,Arkansas,South,1.02361722864902
2006,Black,Arkansas,South,1.02403994725703
2017,Asian,Arkansas,South,0.906684650511455
2020,White,Arkansas,South,1.01163653070213
2001,Asian,Arkansas,South,0.829114254751201
2014,Native,Arkansas,South,0.841261134939107
2011,White,Arkansas,South,1.00927668850613
2003,White,Arkansas,South,1.00421984313116
2014,Pacific,Arkansas,South,0.70816603381383
2006,Pacific,Arkansas,South,0.692580787447761
2017,Native,Arkansas,South,0.785458717598801
