year,pop_name,reg,relative_PWE_enhancement
2007,Asian,West,0.502590074893451
2007,Black,Northeast,1.03223995743372
2007,Black,South,1.11608201585321
2007,Black,North Central,1.17200079407665
2007,Black,West,1.12440455156899
2007,Hispanic,Northeast,0.673625945734406
2007,Hispanic,South,0.617277965350542
2007,Hispanic,North Central,0.65679736456398
2007,Hispanic,West,0.70257111978118
2007,Native,Northeast,0.716076342628765
2007,Native,South,0.635331317857983
2007,Native,North Central,0.52815733323196
2007,Native,West,1.17758423348764
2007,Pacific,Northeast,0.737296160506554
2007,Pacific,South,0.682117886969549
2007,Pacific,North Central,0.615436693431641
2007,Pacific,West,0.536210292052969
2007,White,Northeast,1.0082464518552
2007,White,South,0.987649625647469
2007,White,North Central,0.986897448104284
2007,White,West,1.02275874436275
2008,Asian,Northeast,0.837835393153296
2008,Asian,South,0.949159103329522
2008,Asian,North Central,0.908214263764059
2008,Asian,West,0.519185120098217
2008,Black,Northeast,1.01676734060154
2008,Black,South,1.10595398913183
2008,Black,North Central,1.1622618844276
2008,Black,West,1.12700450585024
2008,Hispanic,Northeast,0.70407692112719
2008,Hispanic,South,0.671985291289768
2008,Hispanic,North Central,0.676668521067883
2008,Hispanic,West,0.726040227848956
2008,Native,Northeast,0.68698167761199
2008,Native,South,0.649232432956531
2008,Native,North Central,0.535318430897014
2008,Native,West,1.09382604028161
2008,Pacific,Northeast,0.743263310282519
2008,Pacific,South,0.710440217128979
2008,Pacific,North Central,0.629034778021626
2008,Pacific,West,0.519392537101175
2008,White,Northeast,1.00948173574964
2008,White,South,0.98635093334089
2008,White,North Central,0.986826816803775
2008,White,West,1.02334538817326
2009,Asian,Northeast,0.77132222072359
2009,Asian,South,0.94574954686698
2009,Asian,North Central,0.875324247381804
2009,Asian,West,0.562493246810596
2009,Black,Northeast,0.988922595573654
2009,Black,South,1.06671422180509
2009,Black,North Central,1.1279096778949
2009,Black,West,1.05309769409517
2009,Hispanic,Northeast,0.657120585553619
2009,Hispanic,South,0.723233173465548
2009,Hispanic,North Central,0.681765466355034
2009,Hispanic,West,0.771727779459564
2009,Native,Northeast,0.710101574357522
2009,Native,South,0.712166419033948
2009,Native,North Central,0.56975558420463
2009,Native,West,1.13904956129628
2009,Pacific,Northeast,0.713346041935767
2009,Pacific,South,0.728491035352224
2009,Pacific,North Central,0.625781042271061
2009,Pacific,West,0.594031171171127
2009,White,Northeast,1.01829594536724
2009,White,South,0.993389801399703
2009,White,North Central,0.992873175042483
2009,White,West,1.02736232549822
2010,Asian,Northeast,0.832836963234558
2010,Asian,South,0.885934367064737
2010,Asian,North Central,0.878241372497516
2010,Asian,West,0.535882410203408
2010,Black,Northeast,1.05221542273514
2010,Black,South,1.11711870108145
2010,Black,North Central,1.19200208676859
